City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,umm kaddadah,13.6017,26.6876,16.32,29,19,6.88,SD,1670295945
264,hithadhoo,-0.6,73.0833,27.45,74,100,4.19,MV,1670295946
265,manokwari,-0.8667,134.0833,27.87,73,100,0.89,ID,1670295946
266,sechura,-5.5569,-80.8222,18.74,85,2,5.72,PE,1670295947
267,torata,-17.0769,-70.8433,13.98,65,100,0.71,PE,1670295948
268,kabanjahe,3.1001,98.4908,22.96,69,85,0.99,ID,1670295948
269,fukue,32.6881,128.8419,10.38,57,56,9.4,JP,1670295948
270,chuy,-33.6971,-53.4616,17.26,94,0,2.5,UY,1670295949
271,cururupu,-1.8283,-44.8683,24.99,84,73,2.42,BR,1670295949
272,tessalit,20.1986,1.0114,23.79,17,97,3.98,ML,1670295796
273,curup,-3.4667,102.5333,24.71,76,100,0.79,ID,1670295950
274,cambui,-22.6122,-46.0575,18.77,99,100,2.12,BR,1670295950
275,bam,29.106,58.357,8.6,50,4,0.53,IR,1670295950
276,skibbereen,51.55,-9.2667,8.39,81,100,8.62,IE,1670295951
277,tigil,57.8,158.6667,-7.46,91,100,6.17,RU,1670295951
278,hasaki,35.7333,140.8333,7.94,84,100,8.63,JP,1670295952
279,warrington,53.3925,-2.5802,4.4,89,68,0.89,GB,1670295813
280,labuhan,-6.8844,112.2051,29.75,66,99,0.97,ID,1670295952
281,kamaishi,39.2667,141.8833,3.92,97,100,1.79,JP,1670295953
282,nacala,-14.5428,40.6728,25.9,84,19,4.11,MZ,1670295954
283,padang,-0.9492,100.3543,29.03,74,100,0.32,ID,1670295954
284,sragen,-7.4264,111.0222,29.41,70,98,0.35,ID,1670295955
285,carutapera,-1.195,-46.02,25.37,86,93,3.2,BR,1670295955
286,canton,23.1167,113.25,12.97,53,1,4.11,CN,1670295884
287,kashirskoye,51.4194,39.6125,-9.88,72,39,2.4,RU,1670295956
288,pasighat,28.0667,95.3333,22.13,34,1,0.73,IN,1670295956
289,broken hill,-31.95,141.4333,23.52,27,97,0.99,AU,1670295957
290,novaya igirma,57.1334,103.9112,-13.11,91,100,5.22,RU,1670295957
291,qrendi,35.8347,14.4583,14.5,100,20,2.06,MT,1670295958
292,acari,-15.4311,-74.6158,21.35,74,100,1.54,PE,1670295958
293,plettenberg bay,-34.0527,23.3716,15.1,74,100,1.97,ZA,1670295958
294,coquimbo,-29.9533,-71.3436,17.15,79,0,1.23,CL,1670295798
295,viedma,-40.8135,-62.9967,24.39,45,84,4.53,AR,1670295769
296,kalawit,8.0667,122.5167,28.88,76,52,2.6,PH,1670295960
297,itoman,26.1247,127.6694,22.43,65,75,10.29,JP,1670295960
298,deming,32.2687,-107.7586,11.94,76,0,3.09,US,1670295849
299,ahuimanu,21.4447,-157.8378,26.84,80,40,3.6,US,1670295961
300,maceio,-9.6658,-35.7353,22.69,94,75,4.12,BR,1670295746
301,kuusankoski,60.907,26.6244,-2.55,99,100,3.6,FI,1670295962
302,port-gentil,-0.7193,8.7815,27.16,77,100,3.45,GA,1670295693
303,birin,26.8865,88.0718,14.61,45,0,0.79,NP,1670295963
304,fort walton beach,30.4058,-86.6188,21.12,94,100,1.54,US,1670295882
305,ewa beach,21.3156,-158.0072,26.97,68,40,4.12,US,1670295847
306,whitehorse,60.7161,-135.0538,-14.57,92,100,1.03,CA,1670295964
307,grindavik,63.8424,-22.4338,0.26,93,0,2.06,IS,1670295964
308,vestmannaeyjar,63.4427,-20.2734,3.66,70,28,2.0,IS,1670295965
309,goderich,43.7501,-81.7165,4.39,67,100,5.3,CA,1670295639
310,honiara,-9.4333,159.95,29.67,71,97,1.9,SB,1670295965
311,bilma,18.6853,12.9164,20.64,22,66,3.01,NE,1670295966
312,haines junction,60.7522,-137.5108,-14.33,98,70,0.93,CA,1670295966
